,Review Title,Rating,Reviews
117,An Overall Package,5.0 out of 5 stars,"I switched from OP7 and it felt almost like how OP made me feel three years back. It takes a couple days to get used to the software but once you do, you'll love it. Amazing deal overall. I'd suggest this to anyone who's looking for a great device under 30k."
118,Smooth display,5.0 out of 5 stars,"I bought 12gb 256gb version,exchanged old phone and after applying credit card,I got in 21000 rs. Display is very smooth,ui very responsive, camera is average,all apps are running without any lags,overall a good phone,I am not facing any issues till now, more I will add after using"
119,"Poor battery life, below average keypad experience",2.0 out of 5 stars,Usage : This is after first week of minimal usage of device.I do not use the mobile for gaming or for watching content. On calls for about 45mins a day + use hotspot for about 30 mins a day. No social media usage. Only WhatsApp installed that too only for messaging. Keep 4g on for close to 16 hrs a day.Battery : With usage mentioned above the battery goes from 100% to 55% in about 9 hrs. I'll rate it as poor.Keypad : there's an issue which I've not be able to zero on but a lot of time while hitting space bar or pressing back key the app on which I'm typing minimises. Not sure if it's a glitch on the software or it's due the way in which I type. Will update.
120,Best in this price segment,5.0 out of 5 stars,"A total worth of money, it's a beast..."
121,Don't buy phone in Amazon friends,1.0 out of 5 stars,"This mobile is good but my new mobile is overheating issue with me, when I apply for replacement, they call technishiyana to my place they came 2 time but they are mlnspect app open in my mobile, and they are not solve my problem but they update that your issue is resolved,and I will contact customer they tell me that we can't do anything, my return policy is not over yet can you give me  suggestion friend.My advice don't buy phone from AmazonThey are cheaters. Above photo is my heating persentage."
122,Superb device at great price,5.0 out of 5 stars,"It's one day usage review of the deviceScreen :- 5/5(bright colors Amoled display)Camera :- 5/5 (both front and back camera are great)Audio :- 5/5Touch response and 120Hz Refresh Rate :- 5/5CPU Performance :- 5/5 (BGMI can be played in Ultra HD, Multitasking made much much easy, negligible heating)Charging:- 80W charger very very fastIt's worth to buy with the icici offer and exchange offers"
123,Would not say as terrific as specified by youtubers and most of people.,4.0 out of 5 stars,"I switched from Redmi note 7 pro 6/128 in which I used to use Corvus ROM, so coming to iqoo neo 6 1.) It's display is mind blowing comparing to my rn7pro I love it's display, colors feel true and screen is clearly visible at 50% brightness level so 10/10 for display.2.) Fingerprint and face unlock are fast and reliable.3.) Gaming experience compared to rn7pro it's beast. I didn't felt any lag or jitter in bgmi, apex, genshin. Minor heating was there but not as much as compared to my old rn7pro.4.) Lookwise I personally don't like it's polycarbonate back rest everythings good.5.) Now comes camera, I would say it's ok ok, pics clicked are not out of the blue. I personally loved the gcam of my rn7pro. I would say in terms of camera the outcome is not upto mark, camera performance is same as mobiles below 20k.6.) Now comes durability phone is durable, and as people are saying their would be not scratches and all I just wanna tell you don't fall for that your back pannel will be full of scratches in long run though chances of getting scratches on screen are quite low.7.) Now comes main part where I felt this phone really made me think I shouldn't have bought it in first place and that's it's battery. It charges quickly but it also discharges quickly. I would say my 4 year old rn7pro has better battery backup than this mobile.8.) Ui I don't feel upto mark since I am habitual to stock android so these skins doesn't please me much, just waiting for it's warranty to end and XDA developers to release roms for this phone.9.) I would say people who want to start their career in gaming or want to live stream go for it. But keep in mind it doesn't give good battery backup so if you are streaming bgmi then you'd have to end stream in 2-3 hrs.10.) One more problem that I faced is, splitter provided is not of good quality and I don't know why but has some problem with Sony earphones and headphones. Sometimes their is crackling noise, sometimes mic doesn't work you have to role the splitter maybe problem with my unit but i experienced it. All over for my 4 day usage I'd say mobile is cool and good, i didn't feel any major heating issues like I used to face in rn7pro. On scale of 10 I'd rate this phone 7. Let's hope iqoo doesn't play games like mi and degrade this phone via updates like Mi does.Update-It lags in bgmi when battery goes below 40% even in classics."
124,Beast at Budget,5.0 out of 5 stars,"                    The media could not be loaded.
                



 Bought this for 26k after all bank discount. A good bang for bucks. The haptic linear motor gives an awesome feel like I-Phone.Battery life and charging Speed is fabulous.Overall a must buy if you buy it below 27k.(IQOO Neo 6 - The Budget Flagship Killer)"
125,Below my expectaions,2.0 out of 5 stars,"* Battery 🔋 is amazing*Performance superb*Camera ...not so good, but ok* E4amoled display  bad, blurry while playing pes,some YouTube videos,expected a little more*Not fully value for money* Pls improve*Sd card option not available*Sound system superb"
126,"Best phone, worth considering.",4.0 out of 5 stars,"I am giving 4 stars for only one reason which is funtouch OS the funtouch OS feels old just and sometimes resembles IOS, vivo/iqoo should stop taking inspiration from IOS and rather work on Android and make it more interactive. Apart from that Main sensor is good and processor is killer. There are some optimization issues which should be fixed with updates apart from that using this phone for 3 days and I am totally satisfied with the performance."
127,Black Screen Bleeding,3.0 out of 5 stars,This phone is  having a black screen bleeding issue where it doesn't show black colour properly instead it shows some grey patch on the screen which is visible only in an dark room.
128,This phone packs a punch!!,5.0 out of 5 stars,Gaming - Absolutely no lag even in Highest Setting with BGMIPerformance - 870 is thoda old processor but you won't even feel as it still outperforms any other Qualcomm in MarketCharging - Didn't even realize the Phone already reach 80% in 10 min ChargeCamera - Good Quality of Still Pics but Video is Ultra StableSuper optimized phone especially for Gamers!!90 FPS come soon 😊
129,Awesome Phone,5.0 out of 5 stars,Awesome Phone last 1 week observed the all the features didn't find any issuesCamera excellentPhone chargeing awesomePerformence awesomeOverall good phone
130,OnePlus killer!,5.0 out of 5 stars,"Update for flash message problem found on youtube:when a flash message comes there are two option ' cancel ' and 'save', click on save then open message app you will see that message on top, now 'block and report' that sender you will not get that type of flash message ever! But there is the sacrifice of data consumption messages, but I think this is not much concerned as the flash messages! If it worked let others know!=========Purchased this phone @17k after having bank discount and exchanging my 3.5 year old OnePlus 6.Phone is really good. I use it for general purpose like fb, WhatsApp, kotak, yono and office related apps like intune company portal outlook teams.- No heating that I noticed while using or charging.- Smooth onscreen fingerprint unlock.- installed many apps like practo ola uber. Everything is working fine.Only thing that is bothering me is the flash message. Whenever you get a flash message from your network service provide, it opens in a new window instead of showing on the same screen. Due to this, I am unable to login into my Kotak app as it requires you to be on Kotak app when it tries to log you in via sms validation. Kotak app send message from your phone for validation and we get a flash message showing remaining SMS balance from service provider which changes your screen from kotak app.This seems to be related to the funtouch OS as this wasn't the case in oxygen OS in my OnePlus.Overall good phone and I recommend it."
131,Pathetic camera quality and sound quality,1.0 out of 5 stars,"Pathetic sound and camera quality, not at all justified at this price segment"
132,Every thing is awesome,4.0 out of 5 stars,"I liked every thin , but somethin is the iqoo shud be update ,1. It has no daily data use shown in notification bar2. I can't find file explorer, I have to use Google file , so I can't find my downloads and othe things that's annoying3. Ther is an 'album' named foto galary and it's very different to me, i was using note 5 pro of xiomi and they have nice file explorer and galary apps, in this ap i find some problem , because if I want to move one photo to special folder , but in all photos it still visible , i don't want all photos, i don't want to hide photos but atleast I can make theme individual from all photos4. The screen is bit bluish then super amoled screen but it can be tolerate5. Im struggling with this. The border of phone, it's plastic, and it's getting bad every day, I am using back cover, but because of plasti ring, it's ages are beenig scracheind by small dirt , that can't be avoided, i feel very bad for that I have bought a very nice phone and I can't protect it from being scrachedIqoo should give metal frame so this can not be happen again"
133,Best Budget Phone until UI deals with you!,4.0 out of 5 stars,"I think it's a best budget phone in this price range. I've used this mobile for almost 10days, this quite interesting phone but UI/OS is the worst to experience. There are not many fonts to experience although it gives a quite stock android feel (i.e status bar, notification icons, volume levels). And also cases/covers may not be available in the market. Camera photos also don't surprise you at this price (but shocked by the Oneplus 7t photos). Majorly, this 120Hz is a lie, you'll know it when you buy this type of phones. It don't really offer you that refresh rate, but offer you somehow with 90Hz. Talking about the good talks, this offers you the best gaming experience in racing games (like F1, RR3, Assoluto & Truckers of Europe 3). The quality of this display is also good, it offers you 4k experience in YouTube & HDR10+ support in Netflix. Battery is also good & charging speed keeps you up in track. The Auto-brightness support is really really good. Overall it's a good phone and value for money except  the UI."
134,Background notification not received,3.0 out of 5 stars,I didn't not open the teams app. I am not receiving messages until open the app. App notification system is very bad. Only mail notifications coming properly. Remaining app notifications are not coming even it opened in background mode. Worst phone for working IT employees. No app receiv ok ng the notification.
135,Features loaded value for money phone,5.0 out of 5 stars,This IQOO Neo 6 is my first phone from Vivo family. It is loaded with best possible features in this price range. The only observation is that the auto beautification done by front camera and the resulted image is far from reality. The image quality needs improvement.
136,Awesome phone...in 25 to 30 min 0to 100 %,5.0 out of 5 stars,For gaming this phone is best....display is nice....design is also good....overall awesome....no heating issues.....camera is also great...
137,Very happy with the phone's performance.,5.0 out of 5 stars,"Been using IQOO NEO6 12/256 for almost 20+ days now. Very happy with the product. Charges full in about 30 minutes. The charger though becomes a bit hot but the phone stays cool. The batry lasts for a day comfortablely on a moderate to slightly heavy use. The photos are good. Phone works fine and is fast enough to do your daily things and surfing the net. It has lot of hidden features that it offers. Check on YouTube videos for more information.Got a good exchange on my old phone, bank discount and a 2 year warranty on my phone, which no other phone company was offering at the time of my  purchase. This can only be offered by any company if it is confident about its product. So check on the various offers and buy this phone. It's a good product.Will update my review if I experience any problem with the product.The only flip side that I have noticed after more than a month of use is that it has a very small length of the charging wire. Not even a metre long, just 36 inches that's all. At times that's just not enough. So that is surely a bit of a discomfort. So I had to buy a longer ""fast charging"" wire separately."
138,Perfect Phone,5.0 out of 5 stars,What a colour.. excellent performance.superb phone
139,Not as I expected,4.0 out of 5 stars,"The phone camera, battery, speed, processor all are fine, but the UI is not good. Even after keeping the notifications on i don't get any notifications for most of the applications. It's irritating, i miss chats and imp notifications like emails and teams. The gesture control is also not perfect, it gets confused between left swipe and back. Even though the phone is good the UI creates too much problem."
140,Poor software built-in and Poor Multimedia experience,1.0 out of 5 stars,Whatever the features might be. Only highlighting the specifications. But there are huge software defects and sound clarity is poor through headphones. And there is No Hi-fi dac or Dolby atmos sound for this processor premium processor.
141,Funtouch OS is not fully Optimised Very Laggy Software Experience,2.0 out of 5 stars,"Funtouch OS is not fully Optimised for Iqoo neo6. Laggy experience on almost all the apps including Google appsPros1) No heating issue so far2) Good performance, as expected of SnapDragon 8703) Decent Camera4) Fast Charging5) Good batteryCons1) Very Laggy Software Experience2) Google apps laggs very much3) Lag while scrolling apps4) Manytimes Fingerprint is not registered even though I don't have any cuts on finger5) Fingerprint Scanner's position is very low"
142,Overall good phone.,5.0 out of 5 stars,Good camera. Found Over whitening in images taken in front camera.facing heat issue while playing BGMI in higher graphics.Back camera performs well.
143,Definitely go for it,5.0 out of 5 stars,"Definitely worth the money. excellent performance, great cooling, well optimized UI, perfect for gaming.. didn't face any lag issues or anything like that. touch response is top of the line. camera doing a great job with the night mode, but sometimes the pictures are noisy in dark scenarios. Battery charges very quickly with the 80W adapter and also the battery drain is decent. But again all over the phone is greater than any other smartphones in this segment and it's definitely a flagship one.. feels premium in hand. Go for it, you won't be disappointed."
144,Excellent phone in this segement,5.0 out of 5 stars,"Good phone...you can buy for those who are not very heavy user this phone is excellent. i owned 12GB configuration and using this from last one month...its result is excellent and performing very smooth. the only thing is camera quality which could be better, call recording getting reveled to next person when to try to record their call.If this is not your concern then go for it without hesitation."
145,A Great Phone With Great Features in Budget...,5.0 out of 5 stars,A Great Phone For Gamers in 30k budget with SD870 which supports 90fps in BGMI...The Device is well optimised and the UI is awesome...It Targets the Budget Gamers and gives best performance...Final Conclusion/Thought - Go For it if you are looking for an alrounder device...IQOO NEO 6 Have all the features that you are looking for...It has a Great Camera With Best Optimisation...It has a Best in segment Amoled Display with Indisplay optical fingerprint scanner...An Awesome Device...A REAL MONSTER...⚡
146,20-30k best phone for gamers🤩,4.0 out of 5 stars,"                    The media could not be loaded.
                



 Good phone in that price point it cost me 20k after exchange 🥱 WAITING FOR 90FPS BGMI CAMERA IS DAMN 👍 GOOD"
147,The killer smartphone of this range,5.0 out of 5 stars,OMGWhat a killer smartphoneI was confused between nord2T poco F4 and iQOO Neo 6But iQoo Neo 6 is definitely has better cameras than other 2.It has great battery life and charging is superfast.Display is good not great thoughSound is loud but lacks bass.Main thing is thermal management has been done really great.No heating issues.Performance is super fast.I read lot of reviews on YouTube and from my experienceIt's definitely better than poco F4 and Nord 2T
148,"IQOO Neo 6, powerpack performance",5.0 out of 5 stars,"Well to all those who are planning to purchase this phone let me tell you 2 things1. If you are a gamer, then I guess this review won't answer most of your queries.2. If you are a generic user like me, who likes to click decent pictures, scroll through social media, use different lifestyle apps like Amazon, Myntra, Nykaa or maybe use this phone for little bit of your professional stint like using Excel, word and mails then this phone is not going to disappoint you.Infact, I am using the 8-128 version of the phone and trust me I dont have any issues with the phone be it the Bluetooth, wifi, cellular network, gps, or say anything that comes to the daily usage of any user. The only thing that ofcourse troubles me and irritates me are those bloatwares, mostly the apps, which you could perhaps uninstall.The major pros of this device areThe camera is a stellar especially with the OIS feature. Dont compare with the iPhone or Google phone's.The battery is a power house. If you are not an intense user it would last for a day since the memory management and battery optimisation is good.The processor is a great at this price point. SD 870 is something you won't expect in a phone at this price point. It doesn't heat at all.I will add some more points after a couple of days of usage.One thing that lags is the no of 5g bands which is 4 but we still have a year of time for 5g to be operational."
149,Great product!!,5.0 out of 5 stars,Battery- I get one full day of battery life with even two hours of BGMI.Camera- I won't take much photos but still happy with the quality.Performance-Best in class and no heating issues.
150,Nice phone in this price range...,4.0 out of 5 stars,"Seamlessly fast, refresh rate awesome, camera is pro...tried and compared with Nord 2, front cam should be atleast 32 mp or above but this with added features for video call justifies the price, battery back-up after 3 days usage...of you use it frequently over the net or games it drains, but not that fast.... but again you hv that monster of a 80W flash charger which charges in no time. Will not say worth buying but yes it is a real worth trying...one can feel the premiumness. If all goes well with IQOO then they could compete with Mr. Dimensity."
151,"Good screen, awesome processor, avg battery",4.0 out of 5 stars,"This is my first experience with high refresh and AMOLED display, so my opinion could be biased in that way. My previous phone was 3.5 yrs old. Compared to that this is huge upgrade. Charges very fast, and app open closes very fast thx to sd870.Device does not heat. Only moderatlyCamera has been of very little use for me (certainly not for photography), so i dont have enough knowledge to rate. Still it gets above avg images.Some visible cons: I have heavily used this for games and videos during the start. I feel battery has started to loose charge retention already, which is early for this kind of degradation. I knew about the ill effects of fast charging on battery, maybe that and heavy use is the cause.Will update more!"
152,I Got Whose I Want.,5.0 out of 5 stars,Muje wo mila jo mai chahta tha.Thanks Iqoo.Muje meri expectations k according mble Dene k liye.I got this mobile in 26k on ICICI offer 3k instant off with Amazon 1k coupan.I got surprise exchange offer on my samsung a21s in 7350rs.Camera just awesome.80watt charger.Mobile charge 100% in just aprx 30mnt.120hz refresh rate.Everything I got superb..I wait 2yrs for mobile.. and finnaly I Got something better option . Thanks Iqoo..
153,"Alot of bugs, apps not optimized properly. Terrible experience",1.0 out of 5 stars,"                    The media could not be loaded.
                



 Terrible experience, full of bugs. YouTube lags while watching"
154,"Overall value for money, just what I wanted",5.0 out of 5 stars,"Perfect balance of camera, performance and battery.Bought for around 21k after exchange of my almost damaged/useless phone (kept aside for more than 2yrs now)Main camera with OIS is very good, rest are okay, does the job.Battery life is nice and almost instant recharge with 80W charger.Performance is smooth for my media consumption and mild gaming.With AMOLED checked display is optimal for my needs.What's not good? Nothing for me."
155,Flagship killer,4.0 out of 5 stars,"                    The media could not be loaded.
                



 Best part-In this price segment killer phone .Color display is too good.Negative-only camera could be betterWhy there are many Pre installed useless applications is available.Overall 2days experienceBut must say best option under 30 with 12/256gb"
156,Cameras and display are good,4.0 out of 5 stars,
157,Best performance,4.0 out of 5 stars,"Mobile look good enough. The AMOLED display with in-built finger print sensor pretty fast and display is very clear. The loud speaker is throughing enough, even though it miss Dolby Atmos. Here comes the battery which a decent performance by iqoo , the screen last about 7hrs . This is not enough to others , which they could easily lasts the battery with heavy usage with screen on time between 6 to 7hrs..."
158,Great phone with minor bugs,5.0 out of 5 stars,While gaming when you on esport mode the notification blocks automatically but if some one calling you then call screen appears and game stops 😶😶 it hurts lot hope they fix in next updatePros1. Super fast charging2. Good Ram management. Apps can run in background smoothly3. Great camera 📷4. No heat while gamingCons1. Calling bug while gaming2. Littel bit slow fingerprintThank you
159,CRUISER WEIGHT CHAMPION,5.0 out of 5 stars,Display 5/5Sound Quality 5/5Processor Speed 5/5Camera quality 5/5Battery 5/5(Best part)Satisfied so far.
160,Bug found,1.0 out of 5 stars,"After unboxing,  the copy/transfer  of data from previous phone is done. I checked all data have been recovered from previous phone.  Then,  suddenly both phone switched off automatically and factory reset of both phone done without my intervention and knowledge.  I lost my whole backup in old phone too... And new one started asking me from first step as in the begining.  What type of bug it is..  I lost my all backup😭😭😭.  Worst phone ever."
161,Minor issue in network connection. Often phones net connection gets down and loose connectivity.,5.0 out of 5 stars,"Nice camera, battery life is good and light weight phone. Value for money.After using nearly 1 month I am fetching this issue majorly that phone loosing network connection and data connectivity issue fetching. Need to fix this mejor issue. While working on some important work connection gets down and unable to continue the same. Again I have to do flight mode and wait for while and network connection gets active.Otherwise phone is fine."
162,Not waterproof,5.0 out of 5 stars,"Display is not working because of liquide damage...I watch youtube vedios where people said that this mobile is completely waterproof for 1 min ,But not in my device unfortunately 😔 my device goone under water for few seconds and i took out quickly after that mobile work properly but after 1-2 hour suddenly sim card not work !So I visit service center and all parts of device is good but display is not work properly I don't what happened how is that possible ?I paid for this mobile 29000/- rs.  Some mobiles is this price range are good quality and not damaged easily unfortunately this one is not like thatI paid extra for display good thing is i qoo componey replace whole product that is good but i paid extra 6200/- rs for display ."
163,Best 90fps flagship budget smartphones,5.0 out of 5 stars,"*Camera not good*Performance excellent like gension impact,call of duty pubg all good no issues*Battery is best 9hrs screen on time i test*Charging speed is excellent compare with 33w 35min or 45 min to full 0 to 100 but advertising 31min*Price range extra 3 or 5 k u can buy 888 or 8gen but it not well optimised overheating issues 870 is well optimised and good performance overall best in price"
164,Read this if you are currently using a high end phone.,4.0 out of 5 stars,"My review of IQOO Neo 6 comes from my bias of using OP7 Pro. The first thing that I noticed right out the box is the display. (3/5)There is a lack of richness in the screen. The blacks are black but the clarity suffers the consequences of its pricing.The next bit is the in-display finger print scanner. (2.5/5)The scanner seems inconsistent at first. But the culprit is its size. Should have been a bigger module. You will find yourself tapping more than once to unlock.The switch from one phone to another is a nervy moment. If you have backed up everything you need, Neo6 let's you switch right back where you left. Again, you will never retain everything, so be prepared. (4/5)The phone comes with a massive chip. Snapdragon 870 is its biggest selling point. And it does not disappoint. BGMI runs like butter on hot phulka. Transitions are smooth. Apps have almost no lag-time. Without SD870 this phone would have lost atleast 25% of its charm. So a well deserving 4/5. I do expect the performance to degrade quicker than other flagship phones. 30k can only get you so much.Call quality and connectivity is just right. (3.8/5)Audio is one aspect that suffers as much as display. The richness is just not there. (3/5)It has only been a day for me with this phone but I know that the camera is not going to get better with updates. It's works fine as long as the pictures are viewed on a smaller screen. You may not be able to get an awesome physical print off this camera. However, others have pointed that it's great for it's price point. (4/5)Design-wise it's 5/5. I have the cyber rage one and it's beautiful. The camera module is big for many but I would rather have a working module than something that trades off functionality over aesthetics. The phone feels big because of its thin bezels but so far they have not distracted me one bit. The front facing camera is a constant nibble on my eyes.Charging takes around 30 mins to complete which is a great thing. Again, I do see this changing with time.One thing that feels right is the OS. It's almost layered underneath everything else. Not drawing attention at all. And that is a great sign. (4.5/5) Just ignore the third party apps which comes with the phone.Last but possibly one of the most important element is it's box contents. A transparent case, USB c charger, pin and a c-type to 3.5mm convertor. It costs next to nothing but provides so much delight to a user. (4.8/5) the charger wire could be longer.Verdict: Go for it if you are tied under 30k. The brand seems like they understand the segment. The product might feel cheaper in hand compared to other phones with similar specs but the tradeoff is worthy. Broken glass backs are better than hard plastic cases.Reasons to chose another phone over IQOO Neo 61. A phone that delivers a supreme camera module.2. Better display quality3. Gorilla glass. But I have shattered them before so maybe this is not as much of an issue.Hope you have your answers."
165,Power-packed performance!,5.0 out of 5 stars,I ordered it after seeing so many videos of so many gadget testers. But after ordering it I saw some really poor ratings here so I was a bit tensed. But all that is in the past now! I've been using this phone over a week now. And my genuine review about this phone is that it's awesome for Gaming! 870G is one of the best processor indeed. I've been playing too much in this phone as I'm a gamer. And it doesn't disappoint me. I play BGMI for hours in this phone and the gameplay goes really smooth and it's doesn't have a heating issue and the battery backup is pretty decent. And it takes me about 30 minutes max to fully charge my phone. The cameras are also pretty decent. My whole family is basically fond of Samsung and it's my first time going off that track to buy this and I'm not disappointed at all! If you really wanna have a powerful gaming phone this look no more and buy it!Thank you to those who actually finished reading the whole comment.
166,Lots of user complaints about battery issues,3.0 out of 5 stars,The stated capacity of the battery is 4700 mAh but it is not even anywhere close to half of that apparently. I installed AccuBattery app right after setting up the device and it shows estimated battery capacity at 2238 mAh. Since the data has a very small sample size I'll keep rechecking it after a few days but even in real world usage I feel that the battery isn't close to 4000 mAh. In fact I got a better battery backup in my 2 year old realme X that had a 3700 mAh battery. I would highly recommend everyone to use AccuBattery or any such app to get a good idea about the battery capacity!
167,IQOO is new Old Oneplus,5.0 out of 5 stars,"Great! phone, i feel am using Old Oneplus where it used be a perfect phone  value for money flagships.Processor: 5/5Display: 5/5Battery: 5/5OS: 4/5Call quality: 4.5/5Build quality: 3/5Overall absolute beast phone, i got it around 14k after exchanging Redmi Note 10! Steal deal"
168,Beast allrounder,5.0 out of 5 stars,"Pros: performance+++, battery backup with 80W charger(0-100% in around 30min)++Display+++, audio+++,ir blaster,camera++Cons:dual app or clone app is given only for 4 social media apps,minor funtouch os bugs which is to be fixed in further updates,.Got at just 19.6k🔥"
169,Dissapointed with Amazon and Battery life and Processor of Iqoo neo6,2.0 out of 5 stars,"1. Battery backup is not that good. Just even for normal youtube video view the battery is not coming for one full day, Leave about gaming.2. I really doubt about the processor is Snapdragon 870 or very much less configuration.Many apps are taking so much time to open and to respond.3. Many times i had issue with fast pairing of realme ear buds. And one more issue i have faced with Amazon is they have a bad return policy of exchange mobiles. The very next day of submission of our old phone, at any cost you will not get it back by any chance if you want it back. They are not mentioning about this that clearly. Becarefull about this guys."
170,Nice mobile but voice call sound is low as compare to other brands brands in market,4.0 out of 5 stars,Signal catching is little bit poor & Sound also low except that evrything is good.
171,Iski display mujhe bilkul b Pasand nhi aayi,2.0 out of 5 stars,PATA nhi logo ne is bare me Kyu nhi btaya or iski display bahut bkwas lgi mujheYE NAAM KI AMOLED H iski quality IPS LCD Jesi h Jo b ye soch rha h ki iski display ka experience bahut acha Hoga bo ye phone Mt lo bkwas display h MOLED K NAAM PR CHIPKA RHE H
172,Not as expected,3.0 out of 5 stars,Ram management is very poor ..even if it has 870 processor and 8+4 gb ram...most of the apps doesn't remain on same page ..it refresh the page from start...it's not expected for 870 processor...need to improve in software update.. hope it wil improve but till now it's not good ...I am spending 27k for this phone and apps are refreshing... It's really annoying...iqoo shud improve the UI for their phones....even colour reproduction is not good... 120hz refresh rate doesn't work like fast ... It feels very slow in monster mode as well... Even my last Samsung phone worth 15k performing better than this ... And this is 30k phone ...
173,Overhyped product from IQOO.,3.0 out of 5 stars,Overall experience is good but improvements are required in camera department I had exchanged my realme XT for for iqoo neo6 which has the same 64 mp samsung sensor but I had to say images on my realme XT was more more optimised than on neo6.
174,black screen bleed and other display issues,1.0 out of 5 stars,"The screen has an issue when we use phone in landscape mode, you can see red line at the bottom of the corner. look at the photo I have posted. Due to this issue, I have replaced the item and in the replaced unit as well, I have seen the same issue. It seems like this issue is with all neo 6 phones.There is also one problem of color bleeding when you use phone in a dark room and you have black color on screen, you will clearly see grey spots on half the screen. I couldn't click photo with this issue because in light, this issue is not visible.finally I returned the item and looking of a better one."
175,Camera is not good,2.0 out of 5 stars,Front cam is not up to the price point. There are grains in the image when I take selfie. Camera quality doesn't match with the YouTube reviews not even near. compromise with the plastic back. I bought 8 gb version I saw lag in playstore and YouTube. Why they call it a flagship it is a midrange phone with a flagship price. Charging is the only thing good in this.
176,Basic things doesn't work properly,2.0 out of 5 stars,"I'm writting this review after using the phone for couple of weeks.Pros:Battery life and flash charging.Cons:Basic bugs, after charging, we can't swipe to the Google discovery.Volume is very low with the headset, we need to increase to full volume to listen, whereas with speakers the volume is much better.Camera quality is not good when compare with oneplus Nord 2. OnePlus Nord 2 giving better real pictures than this.May be good for gaming but not for listening music and for normal users."
177,Delivery,5.0 out of 5 stars,Everything is best in the phone and everything is perfect with the order just the problem was the delivery time. It was 14 days long and the interesting thing is that from where the order was shipped was it was just a hour distance from me. It took 13 days to ship. This was the only flaw for me. Really disappointed with the delivery.
178,Best phone in the segment,5.0 out of 5 stars,"Best phone for the price!Camera rare - 9/10Camera front - 8/10Screen - 8/10Audio - 7/10Gaming experience - 9/10Touch experience - 10/10Video experience -9/10In my opinion in this budget, this is the best phone. No heating issues, no frame drops.Only negative about this phone is , finger print sensitivity is not that great, front camera could have been better and also auto zoom is little slow.Those who wants to buy in the price range for for it !!"
179,Heating issue and also ear problem is coming when speaking in phone please don't purchase this phone,1.0 out of 5 stars,Heating issue and also ear problem is coming when
180,Video quality playing on Youtube or others is so dull,3.0 out of 5 stars,"I feel a little bit of a reddish side (red tone) while playing videos. Overall the phone is class but the video quality is so dull even on youtube, Netflix, prime, or Hotstar while playing 480p or above. Do you guys feel the same or I have to replace or return it??"
181,Smooth Performing device with a few quirks,4.0 out of 5 stars,"I purchased this device for 20k with exchange offers & coupon... Been using this for 10 days now and I must say that I love it... I have an apple 🍎 iPad Air too ... So as I use both the IOS & Android simoltaneously I must say I haven't encountered any bigger issue yet... It's all smooth in the field of performance... Haptics really amazing...But there are some issues regarding app optimisation... Apps like Facebook & You tube don't run at 120 HzRegarding the bloatware & ads issue u can turn them off totally... And it's much close to stalk Android then Realmi UI or MiUi..Coming to camera section - The main rear camera performs really well with good dynamic range and close to natural color than previous Vivo phones ( still sometimes it saturates the pictures a bit)Video stabilization works really great ...The ultra wide & macro sensors are totally useless...The selfie camera works wonders though... With great exposure control & color balance ...Battery - The charging is really fast... It takes abt 40 mins to reach 0 to 100But the discharging rate is a bit fast too... U might encounter battery self drainage a little bit... Even then it would be sufficient to last for one whole day with 6 hrs screen on time for mixed users ...In the end I ud like conclude by saying that if u r getting this for 26k around then it's a great deal ...**Update :- This device has issues with read and write speeds . When I'm trying to copy a file from pen drive via OTG the copying speeds drop from 100 Mbps to nearly 10 Mbps , even it stops copying sometimes. This is an serious issue as it has got no support for sd card ."
182,Battery charging itna slow ku,1.0 out of 5 stars,"                    The media could not be loaded.
                



 Company claim that 0-100%in 32 min but it is not working and 0-100%  70 min and 0-50 company claim that 12 min. But this device take time 28 min. So I want to replace this item"
183,Flagship phone... Could have better camera for night photography,4.0 out of 5 stars,Fast delivery by AmazonGood designLight weightGood processor: SD 870Ram/Rom: 8/128 GBOIS is greatGood 80W charger (charges quickly)Great E4 AMOLED displayGreat stereo audioCamera is good with good lightCould have been better in low light
184,Attention on wifi connection when ultra game mode disable,3.0 out of 5 stars,"Everything is ok except wifi connectivity.When you disable ultra game mode in iqoo Neo 6 you will not be able to play bgmi on wifi connection.why I don't know but I face this issue in my unit. When I disable ultra game mode, wifi is connected normally but when I start bgmi, wifi connection goes to limited connection after 1 to 2 minutes.Battery backup is also not good. 100 to 90 percent comes in 2 hours but 90 to 40 percent comes only 1 hour. One thing is sure that no firmware is better than miui except iOS."
185,BGMI stuck at 60FPS,1.0 out of 5 stars,BGMI stuck at 60 fps that's annoying
186,Battery draining fast. Full Battery drained within 16 hrs.,3.0 out of 5 stars,Phone is good but battery is draining fast. It is bad that at least full charge battery doesn't sustain till a day for normal browsing.Rest all are good.
187,Killer Flagship Smart Phone,5.0 out of 5 stars,"This is amazing phone.-The camera quality is equivalent to Iphone.-In this price segment this phone is on number 1 position.-Light weight, Best Camera, Best battery backup (one day with heavy use), 1.5 days with average use.-Audio Jack connector available in the box.-Back Cover In the box.- I am heavy user, using this device since last 12 days, I did not face any issue.-Thanks IQOO."
188,Superb Phone,5.0 out of 5 stars,"One of the best phone interms of performance, quality, camera has better photo quality then iPhone, i used to have one pluse Nord which accidentally fell in to sea water and got damaged, and again wanted to buy one pluse but when I saw lots of negative comments on Amazon about one pluse models then I dare to buy iqoo Neo 6 5g, 12 gb 256gb and i fell in love with it. It has all the performance features what ever company has advertise. I strongly recommend this phone."
